0.272175	6.648841	phrase1
6.648841	16.952599	phrase2
16.952599	32.699853	phrase3
32.699853	40.515157	phrase4
40.515157	48.213815	phrase5
48.213815	55.990236	phrase6
55.990236	63.650012	phrase7
63.650012	75.392408	phrase8
75.392408	94.639052	phrase9
94.639052	117.773907	phrase10
117.773907	125.433682	phrase11
125.433682	140.869879	phrase12
140.869879	148.704624	phrase13
148.704624	156.364399	phrase14
156.364399	168.126237	phrase15
168.126237	171.820037	phrase16
171.820037	175.708248	phrase17
175.708248	183.445788	phrase18
183.445788	187.295117	phrase19
187.295117	191.280533	phrase20
191.280533	200.690003	phrase21
